                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.67841,                0.70685,                0.81733,                0.78731,                0.74409,                0.82084,                0.66567,                0.65486,                 1.1767,                0.79683,             0.00079315,             0.00079315,             0.00079315
                     47,                0.68228,                0.73069,                0.81101,                0.76426,                0.76448,                0.81654,                0.66378,                0.65399,                 1.2286,                0.79754,             0.00077373,             0.00077373,             0.00077373
                     48,                0.68882,                 0.7195,                0.81528,                0.83811,                0.77704,                0.84213,                0.66993,                0.71779,                   1.13,                0.80774,             0.00075431,             0.00075431,             0.00075431
                     49,                0.68126,                0.71259,                0.81537,                0.80088,                0.77838,                0.84084,                   0.68,                0.66814,                 1.1051,                0.80307,             0.00073489,             0.00073489,             0.00073489
                     50,                0.68036,                0.72171,                0.80923,                 0.8101,                0.77792,                0.84591,                0.67777,                0.67842,                 1.1007,                0.80598,             0.00071547,             0.00071547,             0.00071547
                     51,                0.65398,                0.65649,                0.81307,                0.81535,                0.78769,                0.85194,                0.67833,                0.69447,                 1.0806,                0.80802,             0.00069605,             0.00069605,             0.00069605
                     52,                0.65989,                0.64353,                0.79853,                0.81497,                0.78174,                0.84689,                0.68804,                0.67188,                 1.0663,                0.80072,             0.00067663,             0.00067663,             0.00067663
                     53,                0.64745,                0.63261,                0.81209,                0.81599,                0.75046,                0.83278,                0.67416,                0.67689,                 1.1485,                0.80167,             0.00065721,             0.00065721,             0.00065721
                     54,                0.64917,                0.63224,                0.80732,                0.81262,                0.74235,                 0.8324,                0.67945,                0.64275,                 1.2041,                0.79553,             0.00063779,             0.00063779,             0.00063779
                     55,                0.63987,                0.61615,                0.80428,                 0.8189,                0.76512,                0.83951,                0.68114,                0.65189,                 1.1636,                0.79735,             0.00061838,             0.00061838,             0.00061838
                     56,                0.64048,                 0.6317,                0.80101,                0.84591,                0.70502,                 0.8256,                0.66695,                0.66989,                 1.2336,                0.80226,             0.00059896,             0.00059896,             0.00059896
                     57,                0.65599,                 0.6725,                0.80728,                0.88164,                0.76379,                0.86498,                 0.7049,                0.65612,                 1.0201,                0.80235,             0.00057954,             0.00057954,             0.00057954
                     58,                0.66644,                0.65803,                0.80017,                0.88745,                0.77909,                 0.8718,                0.71048,                0.67102,                 0.9907,                0.80375,             0.00056012,             0.00056012,             0.00056012
                     59,                0.65501,                0.62533,                0.80251,                0.88255,                0.77371,                0.87294,                0.71803,                 0.6512,                 1.0069,                0.79961,              0.0005407,              0.0005407,              0.0005407
