fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.0,0.00485,0.01126,0.86172,0.00049,3.35739,0.59354,6.83333,0.36758,1.49,0.02716,0.8521,0.31613,0.0,0.08811,0.60304,0.0,0.0,0.0,0.63664,0.0,0.58721,0.0,0.0
0.78849,0.00545,0.00957,0.84814,0.0005,3.59067,0.59164,7.27807,0.50164,1.71143,0.03366,0.89532,0.50444,0.0,0.08914,0.36069,0.0,0.0,0.0,0.54544,0.0,0.84031,0.0,0.0
0.78189,0.00551,0.00966,0.82737,0.0005,3.48326,0.62038,7.53996,0.51606,1.71089,0.0342,0.9,0.50336,0.0,0.08994,0.3698,0.0,0.0,0.0,0.51233,0.0,0.82593,0.0,0.0
0.0,0.00479,0.01103,0.90025,0.00033,3.10038,0.48117,8.30751,0.40919,1.19514,0.02049,0.9,0.29066,0.0,0.0701,0.50559,0.0,0.0,0.0,0.57679,0.0,0.55509,0.0,0.0
0.76252,0.00541,0.0113,0.83907,0.00051,2.16846,0.58811,6.30186,0.50579,1.71089,0.03579,0.9,0.59455,0.0,0.09331,0.38019,0.0,0.0,0.0,0.4916,0.0,0.71068,0.0,0.0
0.78478,0.00479,0.01029,0.90307,0.00052,3.62117,0.52756,8.29153,0.43083,1.36227,0.02875,0.9,0.35653,0.0,0.08256,0.53179,0.0,0.0,0.0,0.52169,0.0,0.55177,0.0,0.0
0.0,0.00531,0.01108,0.86681,0.00048,2.95284,0.50481,7.70414,0.37072,1.71089,0.02884,0.83303,0.41891,0.0,0.09238,0.44637,0.0,0.0,0.0,0.59672,0.0,0.7794,0.0,0.0
0.0,0.00491,0.01121,0.87016,0.00053,3.21331,0.5336,7.51131,0.37857,1.6307,0.03029,0.77941,0.47718,0.0,0.09457,0.4046,0.0,0.0,0.0,0.58269,0.0,0.63401,0.0,0.0
0.7653,0.00567,0.01381,0.93508,0.00073,3.0623,0.70069,8.41085,0.39211,1.23575,0.02532,0.51611,0.33854,0.0,0.06675,0.48129,0.0,0.0,0.0,0.60997,0.0,0.6049,0.0,0.0
0.79153,0.00462,0.00964,0.85366,0.00051,3.82943,0.54383,6.71486,0.51606,1.71089,0.03416,0.80722,0.48837,0.0,0.09302,0.33058,0.0,0.0,0.0,0.53684,0.0,0.79966,0.0,0.0
0.7951,0.00487,0.00964,0.85104,0.00053,3.59734,0.67961,9.00912,0.45419,1.71089,0.03583,0.9,0.52639,0.0,0.09303,0.35784,0.0,0.0,0.0,0.55129,0.0,0.95111,0.0,0.0
0.79886,0.00552,0.00917,0.92639,0.00046,3.2078,0.53131,10.70367,0.3506,1.52002,0.03083,0.77452,0.41778,0.0,0.08614,0.3818,0.0,0.0,0.0,0.46526,0.0,0.58369,0.0,0.0
0.78501,0.00593,0.00917,0.93172,0.00047,3.29025,0.53131,10.93506,0.32845,1.59682,0.02939,0.77452,0.41778,0.0,0.08525,0.33292,0.0,0.0,0.0,0.49854,0.0,0.52374,0.0,0.0
0.77768,0.00444,0.01036,0.87909,0.00051,3.51423,0.58747,7.75839,0.37072,1.59997,0.04021,0.88088,0.41552,0.0,0.09238,0.46801,0.0,0.0,0.0,0.67839,0.0,0.57755,0.0,0.0
0.78779,0.00519,0.01209,0.75868,0.00057,3.40313,0.50806,7.97407,0.52753,1.77613,0.03553,0.78723,0.50336,0.0,0.09641,0.34602,0.0,0.0,0.0,0.5175,0.0,0.88263,0.0,0.0
0.78784,0.00545,0.00964,0.84967,0.00051,3.48326,0.57852,7.12051,0.51405,1.71089,0.0343,0.9,0.50186,0.0,0.09238,0.35784,0.0,0.0,0.0,0.5435,0.0,0.82581,0.0,0.0
0.0,0.00505,0.00968,0.83234,0.00048,3.12627,0.53816,7.34357,0.37072,1.66327,0.03217,0.84309,0.41211,0.0,0.09112,0.42822,0.0,0.0,0.0,0.59672,0.0,0.8023,0.0,0.0
0.0,0.00506,0.01001,0.86256,0.0005,3.19631,0.55326,7.89243,0.37117,1.71089,0.03127,0.89738,0.4637,0.0,0.09238,0.39099,0.0,0.0,0.0,0.5671,0.0,0.72794,0.0,0.0
0.79927,0.00516,0.01046,0.85208,0.00051,3.24893,0.51374,7.60249,0.3828,1.75519,0.03108,0.85817,0.43864,0.0,0.09138,0.41383,0.0,0.0,0.0,0.60644,0.0,0.71382,0.0,0.0
0.79837,0.00516,0.01099,0.84816,0.00052,3.24893,0.57596,7.60249,0.3828,1.78976,0.02958,0.85817,0.44477,0.0,0.09469,0.41383,0.0,0.0,0.0,0.5756,0.0,0.71382,0.0,0.0
0.0,0.00634,0.01089,0.85193,0.00047,3.14935,0.49448,7.64553,0.37072,1.67315,0.0315,0.86706,0.39305,0.0,0.07767,0.37675,0.0,0.0,0.0,0.55526,0.0,0.75343,0.0,0.0
0.78123,0.00542,0.01062,0.8529,0.00051,3.21347,0.53277,7.75974,0.37072,1.70892,0.03077,0.83303,0.44336,0.0,0.09238,0.40015,0.0,0.0,0.0,0.59477,0.0,0.70965,0.0,0.0
0.0,0.00541,0.00982,0.85419,0.00052,3.46514,0.58275,7.22788,0.51444,1.73106,0.034,0.9,0.51222,0.0,0.09248,0.35739,0.0,0.0,0.0,0.53156,0.0,0.83474,0.0,0.0
0.78073,0.00585,0.00843,0.88393,0.00056,4.3293,0.43612,8.23337,0.62414,1.71089,0.03727,0.77539,0.41354,0.0,0.09016,0.34262,0.0,0.0,0.0,0.53684,0.0,0.68229,0.0,0.0
